,fyear,State,Democratic_Lean,State_name
4,2010,AK,-14.63058096312075,ALASKA
5,2011,AK,-14.63058096312075,ALASKA
6,2012,AK,-14.63058096312075,ALASKA
7,2013,AK,-14.63058096312075,ALASKA
8,2014,AK,-16.77130942213614,ALASKA
9,2015,AK,-16.77130942213614,ALASKA
10,2016,AK,-16.77130942213614,ALASKA
11,2017,AK,-16.77130942213614,ALASKA
12,2018,AK,-10.52369744769863,ALASKA
13,2019,AK,-10.52369744769863,ALASKA
14,2020,AK,-10.52369744769863,ALASKA
15,2021,AK,-10.52369744769863,ALASKA
16,2022,AK,-10.52369744769863,ALASKA
21,2010,AL,-22.432457066875422,ALABAMA
22,2011,AL,-22.432457066875422,ALABAMA
23,2012,AL,-22.432457066875422,ALABAMA
24,2013,AL,-22.432457066875422,ALABAMA
25,2014,AL,-28.748287187921477,ALABAMA
26,2015,AL,-28.748287187921477,ALABAMA
27,2016,AL,-28.748287187921477,ALABAMA
28,2017,AL,-28.748287187921477,ALABAMA
29,2018,AL,-25.82274966670945,ALABAMA
30,2019,AL,-25.82274966670945,ALABAMA
31,2020,AL,-25.82274966670945,ALABAMA
32,2021,AL,-25.82274966670945,ALABAMA
33,2022,AL,-25.82274966670945,ALABAMA
38,2010,AR,-24.308810702459233,ARKANSAS
39,2011,AR,-24.308810702459233,ARKANSAS
40,2012,AR,-24.308810702459233,ARKANSAS
41,2013,AR,-24.308810702459233,ARKANSAS
42,2014,AR,-28.57027537954093,ARKANSAS
43,2015,AR,-28.57027537954093,ARKANSAS
44,2016,AR,-28.57027537954093,ARKANSAS
45,2017,AR,-28.57027537954093,ARKANSAS
46,2018,AR,-28.424866555966304,ARKANSAS
47,2019,AR,-28.424866555966304,ARKANSAS
48,2020,AR,-28.424866555966304,ARKANSAS
49,2021,AR,-28.424866555966304,ARKANSAS
50,2022,AR,-28.424866555966304,ARKANSAS
55,2010,AZ,-9.226760447406377,ARIZONA
56,2011,AZ,-9.226760447406377,ARIZONA
57,2012,AZ,-9.226760447406377,ARIZONA
58,2013,AZ,-9.226760447406377,ARIZONA
59,2014,AZ,-3.778240892273409,ARIZONA
60,2015,AZ,-3.778240892273409,ARIZONA
61,2016,AZ,-3.778240892273409,ARIZONA
62,2017,AZ,-3.778240892273409,ARIZONA
63,2018,AZ,0.3136633582586299,ARIZONA
64,2019,AZ,0.3136633582586299,ARIZONA
65,2020,AZ,0.3136633582586299,ARIZONA
66,2021,AZ,0.3136633582586299,ARIZONA
67,2022,AZ,0.3136633582586299,ARIZONA
72,2010,CA,23.745622326593242,CALIFORNIA
73,2011,CA,23.745622326593242,CALIFORNIA
74,2012,CA,23.745622326593242,CALIFORNIA
75,2013,CA,23.745622326593242,CALIFORNIA
76,2014,CA,32.25644108545978,CALIFORNIA
77,2015,CA,32.25644108545978,CALIFORNIA
78,2016,CA,32.25644108545978,CALIFORNIA
79,2017,CA,32.25644108545978,CALIFORNIA
80,2018,CA,29.817822721335133,CALIFORNIA
81,2019,CA,29.817822721335133,CALIFORNIA
82,2020,CA,29.817822721335133,CALIFORNIA
