,Employer,Orbis_ID,BvD_ID,fyear,CEI,State,Voluntary,Democratic_Lean,State_name,Region_Midwest,Region_Northeast,Region_South,Region_West,current_assets,lt_debt,TobinsQ,net_debt,Employees,ROA,RD_expenses,total_assets,LT_debt_to_assets,Net_debt_to_current_assets,Net_debt>0,ln_Employees,BvD sectors,Sector,public_scrutiny,consumer_proximity,litigation_risk,injury_risk,age,time_trend
0,3M Co.,000037970,US410417775,2010,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,12215000.0,4277000.0,2.046,1068000.0,80057.0,13.546,1434000.0,30156000.0,0.14182915506035282,0.0874334834220221,1.0,11.290494159948398,"Leather, Stone, Clay & Glass products",Materials,Low,Low,Low,High,81.0,0
1,Abbott Laboratories,000002966,US360698440,2010,80.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,22317529.0,12523517.0,1.223,13466833.0,90000.0,7.637,3724424.0,60573852.0,0.2067479050201397,0.603419536275723,1.0,11.407564949312402,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,110.0,0
2,Abercrombie & Fitch Co.,000264107,US311469076,2010,100.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,1426781.0,68566.0,1.506,-757787.0,85000.0,5.294,,2941415.0,0.02331054951443438,-0.5311165483700722,0.0,11.350406535472453,Retail,Retailing,Low,Low,Low,Low,14.0,0
3,Accenture,007561404,IE471706,2010,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,9563625.0,1445.0,1.817,-4839691.0,204000.0,13.873,383700.0,12835253.0,0.00011258056229978481,-0.5060519416016417,0.0,12.225875272826354,Business Services,Business Services,Low,Low,Low,Low,21.0,0
4,ADP,000006818,US221467904,2010,100.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,22316700.0,39800.0,0.754,-1628600.0,47000.0,4.51,513900.0,26862200.0,0.0014816359047285777,-0.0729767393924729,0.0,10.757902880692196,Computer Software,Technology,Low,Low,High,Low,49.0,0
5,Advanced Micro Devices Inc.,000313383,US941692300,2010,75.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,3594000.0,2188000.0,1.123,632000.0,11068.0,9.488,1405000.0,4964000.0,0.44077356970185333,0.1758486366165832,1.0,9.311813340906816,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,41.0,0
6,Agilent Technologies Inc.,000519086,US770518772,2010,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,6169000.0,2190000.0,1.243,1042000.0,18500.0,7.054,612000.0,9696000.0,0.22586633663366337,0.16890906143621331,1.0,9.825526011066415,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,11.0,0
7,AIG,000298601,US132592361,2010,85.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,91.0,0
8,Air Products & Chemicals Inc.,000014662,US231274455,2010,75.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,3033800.0,3659800.0,1.303,3754000.0,18300.0,7.62,114700.0,13505900.0,0.27097786893135595,1.2373920495747908,1.0,9.814656338829513,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,49.0,0
9,"Akin, Gump, Strauss, Hauer & Feld LLP",221990934,US257619089L,2010,100.0,DC,1.0,83.63482251058672,DISTRICT OF COLUMBIA,False,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,34.0,0
